planned_number,topic,search_keywords,title,database_case_number,source_url,filename,status
004,经济补偿 / 解除劳动合同,经济补偿 解除劳动合同,北京某贸易有限公司诉王某劳动合同纠纷案——解除或终止劳动合同经济补偿金的支付可否附条件,2023-07-2-186-004,https://rmfyalk.court.gov.cn/view/content.html?id=D5Ls9InXjcmqWgGsBUsOB%252B24CVbUO%252FAqC79vzLuu5dY%253D&lib=ck&qw=%E7%BB%8F%E6%B5%8E%E8%A1%A5%E5%81%BF%20%E8%A7%A3%E9%99%A4%E5%8A%B3%E5%8A%A8%E5%90%88%E5%90%8C,004_北京某贸易有限公司诉王某劳动合同纠纷案.pdf,downloaded
005,未签书面劳动合同 / 二倍工资,未签书面劳动合同 二倍工资,指导案例179号：聂美兰诉北京林氏兄弟文化有限公司确认劳动关系案,2022-18-2-186-001,https://rmfyalk.court.gov.cn/view/content.html?id=DfpZiJXBUeSnAThrt%252Byap%252F%252BFon%252BtZJU49uGEWqZQ1yE%253D&lib=zdx&qw=%E6%9C%AA%E7%AD%BE%E4%B9%A6%E9%9D%A2%E5%8A%B3%E5%8A%A8%E5%90%88%E5%90%8C%20%E4%BA%8C%E5%80%8D%E5%B7%A5%E8%B5%84,005_指导案例179号：聂美兰诉北京林氏兄弟文化有限公司确认劳动关系案.pdf,downloaded
006,试用期解除,试用期 解除,某途教育公司诉王某华劳动争议案——在法定最长试用期内延长试用期的，属于二次约定试用期,2024-07-2-490-002,https://rmfyalk.court.gov.cn/view/content.html?id=%252FHDT9Hn%252FTcBTrZ8%252FLstsZ5%252BtLAbC5VBCXkiWAoE0Tno%253D&lib=ck&qw=%E8%AF%95%E7%94%A8%E6%9C%9F%20%E8%A7%A3%E9%99%A4,006_某途教育公司诉王某华劳动争议案.pdf,downloaded
007,劳动关系认定,确认劳动关系,指导性案例237号：郎溪某服务外包有限公司诉徐某申确认劳动关系纠纷案,2024-18-2-186-001,https://rmfyalk.court.gov.cn/view/content.html?id=s549hK1VLD9RLUOPsJVtgpwgFHm85k6w1qhxELNGXjw%253D&lib=zdx&qw=%E7%A1%AE%E8%AE%A4%E5%8A%B3%E5%8A%A8%E5%85%B3%E7%B3%BB,007_指导性案例237号：郎溪某服务外包有限公司诉徐某申确认劳动关系纠纷案.pdf,downloaded
008,新就业形态 / 平台用工劳动关系,确认劳动关系,指导性案例238号：圣某欢诉江苏某网络科技有限公司确认劳动关系纠纷案,2024-18-2-186-002,https://rmfyalk.court.gov.cn/view/content.html?id=uPm1oEvBzbRberd5P1JspEGwjrALPAZlHrvTaa9Z5xs%253D&lib=zdx&qw=%E7%A1%AE%E8%AE%A4%E5%8A%B3%E5%8A%A8%E5%85%B3%E7%B3%BB,008_指导性案例238号：圣某欢诉江苏某网络科技有限公司确认劳动关系纠纷案.pdf,downloaded
009,未签订书面劳动合同 / 二倍工资,二倍工资,冉某诉重庆某农旅融合发展集团有限公司、石柱县某宾馆有限公司劳动争议案,2025-07-2-490-003,https://rmfyalk.court.gov.cn/view/content.html?id=CykTrHIWfIvdnCkWkzKVF7EHD7JUQ9f2OkMM6Kzq2Wc%253D&lib=ck&qw=%E4%BA%8C%E5%80%8D%E5%B7%A5%E8%B5%84,009_冉某诉重庆某农旅融合发展集团有限公司、石柱县某宾馆有限公司劳动争议案.pdf,downloaded
010,试用期解除 / 试用期违法辞退,试用期 解除劳动合同；试用期 不符合录用条件；试用期 违法解除,,,,,not_found
011,拖欠工资 / 劳动报酬,劳动报酬,指导案例28号：胡克金拒不支付劳动报酬案,2014-18-1-232-001,https://rmfyalk.court.gov.cn/view/content.html?id=xQJMjG9jOGk59Ff%252FdwkWpbpx1433nrM%252BWyT4qd%252Fjicg%253D&lib=zdx&qw=%E5%8A%B3%E5%8A%A8%E6%8A%A5%E9%85%AC,011_指导案例28号：胡克金拒不支付劳动报酬案.pdf,downloaded
012,劳务派遣,劳务派遣 劳动争议,张某诉某劳务服务有限公司、某工业有限公司劳动合同纠纷案,2023-07-2-186-006,https://rmfyalk.court.gov.cn/view/content.html?id=0oBzK6TMwzMXSXsWOVemzwp81%252FvgMTsDODHO97WVXdY%253D&lib=ck&qw=%E5%8A%B3%E5%8A%A1%E6%B4%BE%E9%81%A3%20%E5%8A%B3%E5%8A%A8%E4%BA%89%E8%AE%AE,012_张某诉某劳务服务有限公司、某工业有限公司劳动合同纠纷案.pdf,downloaded
013,社会保险,未缴社会保险 劳动争议,朱某平诉北京荣某保安服务有限公司等劳动争议案,2026-07-2-533-001,https://rmfyalk.court.gov.cn/view/content.html?id=Jjsev5aOL5KLqfg6s0A1%252FI141LRp2Jfokx5ZqGldIHk%253D&lib=ck&qw=%E6%9C%AA%E7%BC%B4%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%99%A9%20%E5%8A%B3%E5%8A%A8%E4%BA%89%E8%AE%AE,013_朱某平诉北京荣某保安服务有限公司等劳动争议案.pdf,downloaded
014,民事欠薪 / 劳动报酬,拖欠工资 劳动争议；劳动报酬 民事；工资支付 劳动合同纠纷,李某诉某足球俱乐部有限公司追索劳动报酬纠纷案,2023-07-2-186-010,https://rmfyalk.court.gov.cn/view/content.html?id=KBBdE%252BsDZ23uLuRhFnZ%252FWPkZXqt2vRYe9qZntf6uN4Q%253D&lib=ck&qw=%E6%8B%96%E6%AC%A0%E5%B7%A5%E8%B5%84%20%E5%8A%B3%E5%8A%A8%E4%BA%89%E8%AE%AE,014_李某诉某足球俱乐部有限公司追索劳动报酬纠纷案.pdf,downloaded
